title,NER,link
"""Pizza Dippers""","""refrigerator pizza crust,margarine,pizza seasonings,Mozzarella cheese,pizza sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=291725"""
"""Madge'S Refrigerator Rolls""","""sugar,yeast,water,milk,sugar,shortening,salt,egg whites,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=274823"""
"""Super Sundae Pie""","""vanilla ice cream,graham cracker pie crust,strawberry topping,chocolate sundae syrup,nuts,whipped cream,maraschino cherries""","""www.cookbooks.com/Recipe-Details.aspx?id=423941"""
"""Cranberry-Orange Relish For Poultry""","""oranges,cranberry sauce,pear halves,apple,sugar,raisins,pecans,vinegar,ground cinnamon,ground ginger""","""www.cookbooks.com/Recipe-Details.aspx?id=388941"""
"""Swedish Heirloom Cookies""","""shortening,butter,powdered sugar,salt,flour,water,vanilla,ground almonds,powdered sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=432417"""
"""Garden Cabbage Salad""","""cabbage,green onions,carrot,green pepper,radishes,cucumber,Dressing""","""www.cookbooks.com/Recipe-Details.aspx?id=1004617"""
"""Kentucky Pecan Pie""","""white corn syrup,brown sugar,salt,butter,vanilla,eggs,pecans""","""www.cookbooks.com/Recipe-Details.aspx?id=921819"""
"""London Broil""","""flank steak,salad oil,vinegar,clove garlic,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=802675"""
"""Hello Dolly Bars""","""Graham Cracker Crumbs,Chocolate Chips,Butterscotch Chips,Walnuts,Coconut,Condensed Milk""","""www.cookbooks.com/Recipe-Details.aspx?id=78149"""
"""Macaroni And Cheese Casserole""","""sharp cheese,macaroni,condensed cream,pimento,mayonnaise,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=1065042"""
"""Betsy'S Chocolate Fudge Cake""","""unsweetened chocolate,flour,baking powder,salt,butter,brown sugar,eggs,vanilla,sour cream,boiling water""","""www.cookbooks.com/Recipe-Details.aspx?id=858480"""
"""Cream Cheese Squares""","""yellow cake mix,egg,margarine,sugar,eggs,cream cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=949240"""
"""Beef Barbecue""","""boneless chuck roast,ketchup,water,mustard,lemon juice,vinegar,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=836009"""
"""Chicken Stroganoff""","""chicken breasts,vegetable oil,onions,mushrooms,cornstarch,pepper,water,yogurt,noodles,garlic,chicken broth""","""www.cookbooks.com/Recipe-Details.aspx?id=306538"""
"""Cream Pie And Pudding(Microwave)""","""sugar,flour,salt,eggs,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=634804"""
"""Crispix Cookies""","""butterscotch morsels,semi-sweet chocolate morsels,peanuts,cereal""","""www.cookbooks.com/Recipe-Details.aspx?id=1029054"""
"""Rum Balls""","""vanilla wafers,nuts,powdered sugar,semi-sweet chocolate,light corn syrup,rum""","""www.cookbooks.com/Recipe-Details.aspx?id=814952"""
"""Millionaire Cake""","""flour,sugar,soda,eggs,coconut,nuts,vanilla,salt,pineapple""","""www.cookbooks.com/Recipe-Details.aspx?id=551199"""
"""Hawaiian Carrots""","""carrots,pineapple,cornstarch,brown sugar,oleo""","""www.cookbooks.com/Recipe-Details.aspx?id=1024294"""
"""Ginny'S Salad""","""Mozzarella cheese,walnuts,Italian dressing""","""www.cookbooks.com/Recipe-Details.aspx?id=278602"""
"""Onion Soup""","""onions,butter,vegetable oil,sugar,flour,beef broth,white wine,bread,vegetable oil,Swiss cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=590705"""
"""Banana Walnut Cake""","""shortening,sugar,cake flour,vanilla,salt,walnuts,sour milk,banana pulp,eggs,baking powder,soda""","""www.cookbooks.com/Recipe-Details.aspx?id=502339"""
"""Fish And Broccoli Roll-Ups(Serves 4)""","""flounder,broccoli,lemon wedges,salad dressing""","""www.cookbooks.com/Recipe-Details.aspx?id=496511"""
"""Fat Free Pizza Treats""","""muffins,pizza sauce,Mozzarella cheese,Parmesan cheese,onion,mushrooms,green pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=233443"""
"""Sesame Chicken Wings""","""soy sauce,garlic,fresh ginger,honey,freshly ground black pepper,chicken,sesame oil,sesame seed""","""www.cookbooks.com/Recipe-Details.aspx?id=668368"""
"""Imitation Crabmeat Salad""","""imitation crabmeat,spiral pasta,sour cream,mayonnaise,celery,green onions,water chestnuts,frozen pea pods,dill weed,onion powder,Monde,celery salt,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=112057"""
"""Macaroni And Cottage Cheese""","""macaroni,cottage cheese,butter,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=870707"""
"""String Pie""","""ground beef,onion,green onion,spaghetti sauce,Parmesan cheese,eggs,butter,cottage cheese,Mozzarella cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=304630"""
"""Easters Hamburgers""","""tomato sauce,dry mustard,brown sugar,salt,chili powder""","""www.cookbooks.com/Recipe-Details.aspx?id=254577"""
"""Coconut Macaroons""","""coconut,flour,egg whites,maraschino cherries,sugar,salt,almond extract""","""www.cookbooks.com/Recipe-Details.aspx?id=624956"""
"""Cranberry Salad""","""oranges,apples,cranberries,No,sugar,water,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=1016285"""
"""Lazy Day Salad""","""fruit cocktail,mandarin oranges,pineapple,vanilla pudding,lemon pudding""","""www.cookbooks.com/Recipe-Details.aspx?id=319499"""
"""Pear Relish""","""ground,onions,green peppers,sweet red peppers,hot peppers,vinegar,sugar,pickling salt,ground turmeric,ground allspice,ground cinnamon,ground ginger""","""www.cookbooks.com/Recipe-Details.aspx?id=1024183"""
"""Strawberry Bread""","""strawberries,eggs,salad oil,flour,sugar,cinnamon,soda,salt,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=947177"""
"""Strawberry Salad""","""strawberry jello,boiling water,pineapple,bananas,pecans,sour cream""","""www.cookbooks.com/Recipe-Details.aspx?id=357869"""
"""Chili Beef Casserole""","""tomato soup,chili beef soup,extra lean ground beef,macaroni,American cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=585149"""
"""Bread""","""water,yeast,butter,sugar,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=747346"""
"""Salmon Casserole Baked In Sour Cream""","""salmon,lemon juice,salt,pepper,sour cream,dill,onion,parsley""","""www.cookbooks.com/Recipe-Details.aspx?id=525855"""
"""Carrie'S Cabbage Soup""","""green cabbage,onion,celery,green pepper,thyme,marjoram,anisette,tomatoes,onion soup,beef bouillon,water,tarragon,sugar,tomato sauce,ground beef,sausage""","""www.cookbooks.com/Recipe-Details.aspx?id=300676"""
"""Chicken And Pasta Salad""","""egg noodles,chicken breasts,green grapes,almonds""","""www.cookbooks.com/Recipe-Details.aspx?id=342068"""
"""Calico Beans""","""lima beans,pork,red beans,black-eyed peas,hamburger,bacon,onion,celery,Worcestershire sauce,brown sugar,catsup,liquid smoke,mustard,vinegar""","""www.cookbooks.com/Recipe-Details.aspx?id=812299"""
"""Ham Roll-Up""","""thin-sliced,cream cheese,breadsticks""","""www.cookbooks.com/Recipe-Details.aspx?id=761155"""
"""Penne Al'Arrabbiato""","""Italian-style tomatoes,olive oil,garlic,parsley,red peppers,salt,pasta""","""www.cookbooks.com/Recipe-Details.aspx?id=946748"""
"""Corn Casserole""","""corn,corn,eggs,oleo,sour cream,corn muffin""","""www.cookbooks.com/Recipe-Details.aspx?id=899479"""
"""Vegetable Dip""","""mayonnaise,sour cream,green onions,green pepper,pimentos,Bac*Os,Tabasco,garlic,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=483300"""
"""Spinach Dip""","""spinach,cream cheese,green parsley,green onions,salt,Season-All,black pepper,garlic powder,cognac,Triple Sec,vodka,Meyers""","""www.cookbooks.com/Recipe-Details.aspx?id=406860"""
"""Easy Chicken Pot Pie""","""Veg-All vegetables,cream of chicken soup,cream of onion soup,cream of mushroom soup,chicken,butter,flour,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=301530"""
"""Fruit Pizza""","""sugar cookie,cream cheese,sugar,your choice""","""www.cookbooks.com/Recipe-Details.aspx?id=46114"""
"""Grasshopper Pie""","""cookies,margarine,creme,whipped cream""","""www.cookbooks.com/Recipe-Details.aspx?id=748848"""
"""Squash Souffle""","""butter,milk,salt,egg whites,cracker crumbs,grated reduced fat""","""www.cookbooks.com/Recipe-Details.aspx?id=981455"""
"""Loris'S Egg Salad""","""eggs,pimento,Miracle,sweet gherkin pickle,onion,green pepper,salt,paprika""","""www.cookbooks.com/Recipe-Details.aspx?id=167531"""
"""Apple Kuchen""","""recipe Basic Sweet Dough,apples,sugar,cinnamon,butter""","""www.cookbooks.com/Recipe-Details.aspx?id=1070770"""
"""Eggplant-Tomato Casserole""","""eggplant,tomatoes,salt,oregano flakes,Parmesan cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=586896"""
"""Strawberry Bread""","""flour,sugar,cinnamon,baking soda,salt,cooking oil,eggs,crushed strawberries,walnuts""","""www.cookbooks.com/Recipe-Details.aspx?id=202697"""
"""Salsa""","""tomatoes,green chilies,green onions,celery,yellow onions,cilantro,tomato sauce,cumin,garlic,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=444964"""
"""Meatball Stew""","""cornflakes cereal,egg,beef broth,salt,pepper,ground beef,vegetable oil,tomato soup,water,thyme,carrots,onion,white potatoes,parsley flakes""","""www.cookbooks.com/Recipe-Details.aspx?id=932490"""
"""Cauliflower-Broccoli Casserole""","""cauliflower,frozen broccoli,butter,cream of mushroom soup,milk,Velveeta cheese,rice""","""www.cookbooks.com/Recipe-Details.aspx?id=1036688"""
"""Cabbage Casserole""","""celery,bell pepper,onion,margarine,cabbage,water,cream of celery soup,pimento,herb stuffing""","""www.cookbooks.com/Recipe-Details.aspx?id=582468"""
"""Best Ever Salad""","""fine spaghetti,onion,green pepper,celery,tomatoes,salt,curry,cream of celery,amount of mayonnaise""","""www.cookbooks.com/Recipe-Details.aspx?id=824519"""
"""Black Bottom Cupcakes""","""cream cheese,egg,sugar,salt,chocolate chips,flour,sugar,cocoa,baking soda,salt,water,cooking oil,vinegar,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=315286"""
"""Tuna Casserole""","""tuna fish,cream of mushroom soup,macaroni,celery,onion,peas,water,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=847552"""
"""Oatmeal Pie(Cheap Pecan Pie)""","""eggs,margarine,syrup,white sugar,coconut,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=117552"""
"""Chili Con Carne""","""hamburger,garlic,chili powder,salt,pepper,tomatoes,onion,kidney beans,spaghetti""","""www.cookbooks.com/Recipe-Details.aspx?id=385702"""
"""Swiss Chicken Casserole""","""chicken,Swiss cheese,cream chicken soup,milk,herb stuffing mix,margarine""","""www.cookbooks.com/Recipe-Details.aspx?id=9497"""
"""Happy Face Cookies""","""butter,sugar,eggs,water,flour,baking powder,salt,vanilla,powdered milk""","""www.cookbooks.com/Recipe-Details.aspx?id=62362"""
"""No Bake Cookies""","""almond bark,marshmallows,peanuts,Rice Krispies,Cap'n""","""www.cookbooks.com/Recipe-Details.aspx?id=137384"""
"""Slinky(Apple Flavored, Low Calorie Quencher)""","""sparkling mineral water,apple juice,freshly squeezed lemon juice,apple""","""www.cookbooks.com/Recipe-Details.aspx?id=671279"""
"""Peach Cobbler""","""butter,flour,sugar,milk,peaches""","""www.cookbooks.com/Recipe-Details.aspx?id=485168"""
"""Green Bean Specialty""","""bacon,grease,brown sugar,vinegar,mustard""","""www.cookbooks.com/Recipe-Details.aspx?id=85636"""
"""Raspberry Nut Perfection(Serves 8)""","""red raspberry,water,white cake mix,egg,flaked coconut,pecans,butter""","""www.cookbooks.com/Recipe-Details.aspx?id=533674"""
"""Mexican Chicken""","""chicken,onion,cheese,Doritos,cream of chicken soup,cream of mushroom soup,Ro-Tel""","""www.cookbooks.com/Recipe-Details.aspx?id=524201"""
"""10 Minute Peanut Brittle""","""sugar,light corn syrup,salt,peanuts,butter,vanilla,soda""","""www.cookbooks.com/Recipe-Details.aspx?id=353985"""
"""Onion Dressing""","""milk,vinegar,onion soup mix,catsup,Worcestershire sauce,red pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=328"""
"""Chocolate Oatmeal Cookies""","""margarine,milk,cocoa,sugar,oats,peanut butter,vanilla,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=619294"""
"""Pastry Crunch""","""vanilla flavored candy coating,corn,noodles,peanuts,pecan""","""www.cookbooks.com/Recipe-Details.aspx?id=987634"""
"""Chippewa Soup""","""carrots,onions,celery,green split peas,tomato puree,garlic,water,ham,potatoes,marjoram,basil,oregano,thyme,bay leaves,curry powder,Salt""","""www.cookbooks.com/Recipe-Details.aspx?id=140999"""
"""Coconut Cream Pie(Low Calorie)""","""crust,sugar,coconut,low-fat milk""","""www.cookbooks.com/Recipe-Details.aspx?id=511588"""
"""Voodoo Chicken""","""chicken pieces,white vinegar,soy sauce,onion,garlic,black pepper,mustard,ketchup,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=476764"""
"""Chicken Divan""","""chicken breasts,frozen broccoli,cream of celery soup,curry powder,lemon juice,American cheese,Cheddar cheese,bread crumbs,margarine""","""www.cookbooks.com/Recipe-Details.aspx?id=650259"""
"""Old Fashioned Tea Cakes""","""butter,sugar,eggs,milk,nutmeg,vanilla,flour,baking powder""","""www.cookbooks.com/Recipe-Details.aspx?id=375405"""
"""French Toast And Sauce""","""eggs,milk,frozen lemonade,salt,butter,bread""","""www.cookbooks.com/Recipe-Details.aspx?id=132867"""
"""Spaghetti Pie""","""spaghetti,olive oil,Parmesan cheese,eggs,cottage cheese,low-fat ground beef,onion,green pepper,spaghetti sauce,Mozzarella""","""www.cookbooks.com/Recipe-Details.aspx?id=808072"""
"""Baked Corn""","""whole kernel corn,cream-style corn,sour cream,oleo,corn bread""","""www.cookbooks.com/Recipe-Details.aspx?id=526724"""
"""Chicken Casserole""","""chicken,celery,rice,cream of chicken soup,mayonnaise,pecans,butter,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=449577"""
"""Favorite Chocolate Cake""","""flour,eggs,baking powder,red food coloring,salt,soda,sugar,cocoa,shortening,buttermilk""","""www.cookbooks.com/Recipe-Details.aspx?id=684926"""
"""Blue Muffins""","""egg,milk,shortening,sugar,flour,blueberries""","""www.cookbooks.com/Recipe-Details.aspx?id=533822"""
"""Devils Chicken(Pollo Alla Diavola)""","""chicken,olive oil,hot pepper,lemons,ground pepper,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=680725"""
"""Friendship Tea""","""instant tea,cinnamon,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=1025828"""
"""Heath Bar Pie""","""graham cracker pie crust,chocolate curls""","""www.cookbooks.com/Recipe-Details.aspx?id=976718"""
"""Victorian Baked French Toast""","""brown sugar,butter,light corn syrup,bread,eggs,milk,cinnamon""","""www.cookbooks.com/Recipe-Details.aspx?id=908190"""
"""Quick Swedish Meatballs""","""ground beef,bread crumbs,cream cheese,onion soup,salt,nutmeg,milk,stroganoff sauce mix""","""www.cookbooks.com/Recipe-Details.aspx?id=850050"""
"""Irish Stew(Microwave)""","""lamb,water,onion soup,bay leaf,carrots,potatoes,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=1017368"""
"""Peach Salad""","""Jello,food,Condensed Milk,cream cheese,hot water,sugar,pineapple""","""www.cookbooks.com/Recipe-Details.aspx?id=65771"""
"""Hidden Valley Ranch Oyster Crackers""","""oyster crackers,salad dressing,lemon pepper,dill weed,garlic powder,salad oil""","""www.cookbooks.com/Recipe-Details.aspx?id=648947"""
"""Pepperoni Loaf""","""bread,Provolone cheese,pepperoni stick,egg,sesame seed""","""www.cookbooks.com/Recipe-Details.aspx?id=534772"""
"""Animal Crackers""","""oatmeal,honey,salt,flour,soda,butter,buttermilk""","""www.cookbooks.com/Recipe-Details.aspx?id=736649"""
"""Sauerkraut""","""water,bacon,onion,flour,salt,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=1042678"""
"""Good Cabbage Slaw""","""cabbage,onion,sugar,celery,salt,vinegar,mustard,salad oil""","""www.cookbooks.com/Recipe-Details.aspx?id=524266"""
"""Roasted Potatoes With Arugula""","""potatoes,olive oil,salt,freshly ground black pepper,rosemary,arugula""","""www.cookbooks.com/Recipe-Details.aspx?id=756855"""
"""Pineapple Salad""","""cream cheese,pineapple,marshmallows,pecans""","""www.cookbooks.com/Recipe-Details.aspx?id=67122"""
"""Antionett'S Soup""","""ground beef,onion,clove garlic,water,noodles,green pepper,parsley,tomatoes,bouillon cubes,mushrooms""","""www.cookbooks.com/Recipe-Details.aspx?id=399026"""
"""Seafood And Pasta Salad""","""scallops,shrimp,imitation crab,green onions,olive oil,eggs,mayonnaise,rotini noodles""","""www.cookbooks.com/Recipe-Details.aspx?id=747472"""
"""Chicken Casserole""","""onion,margarine,Veg-All,cream of chicken soup,mayonnaise,cheese,eggs,chicken,Bisquick,milk,margarine""","""www.cookbooks.com/Recipe-Details.aspx?id=143466"""
"""Easy Peanut Blossom Cookies""","""condensed milk,peanut butter,egg,vanilla extract,Bisquick baking mix,sugar,kisses""","""www.cookbooks.com/Recipe-Details.aspx?id=60089"""
"""Chicken Broccoli Casserole""","""Stove Top stuffing""","""www.cookbooks.com/Recipe-Details.aspx?id=787695"""
"""Chicken And Broccoli Casserole""","""boneless chicken,broccoli,cream of mushroom soup,sour cream,Velveeta cheese,bread crumbs""","""www.cookbooks.com/Recipe-Details.aspx?id=829916"""
"""Onion Burgers""","""ground beef,garlic powder,onion,onion-mushroom soup mix,water,salt,Worcestershire""","""www.cookbooks.com/Recipe-Details.aspx?id=37890"""
"""Lebanese Carrots""","""carrots,onion,green pepper,tomato soup,sugar,vinegar,Worcestershire sauce,mustard""","""www.cookbooks.com/Recipe-Details.aspx?id=759137"""
"""Lemon Sugar Cookies""","""flour,baking powder,salt,shortening,sugar,egg,lemon juice,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=567203"""
"""Mexican Cornbread""","""mix,sharp cheese,corn,onion,oil,sugar,bell pepper,eggs,buttermilk,peppers""","""www.cookbooks.com/Recipe-Details.aspx?id=1033625"""
"""Molasses Cookies""","""egg,sugar,molasses,shortening,water,flour,baking soda,cinnamon,cloves,ginger,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=543989"""
"""Italian Style Meat Loaf""","""ground beef,hot Italian sausage,Italian style tomatoes,bread crumbs,onion,green pepper,egg""","""www.cookbooks.com/Recipe-Details.aspx?id=320253"""
"""Banana Split Cake""","""graham cracker crumbs,margarine,powdered sugar,eggs,bananas,pineapple,bowl,nuts,cherries""","""www.cookbooks.com/Recipe-Details.aspx?id=389505"""
"""Mother J'S Chocolate Cake(Delicious!)""","""sugar,butter,eggs,buttermilk,flour,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=570997"""
"""Broccoli Casserole""","""frozen broccoli cuts,butter,onion,rice,cream of mushroom soup""","""www.cookbooks.com/Recipe-Details.aspx?id=678736"""
"""Southwest Taco Dip""","""black beans,ground raw turkey,onion,chili powder,bottled salsa,Cheddar cheese,sour cream,fresh cilantro,salt,pepper,avocado,tomatoes,green onions,tortilla chips""","""www.cookbooks.com/Recipe-Details.aspx?id=993140"""
"""Orange Roughy Fillets""","""orange roughy,onion,butter,orange juice,garlic""","""www.cookbooks.com/Recipe-Details.aspx?id=509119"""
"""Fresh Tomato Aspic""","""unflavored gelatin,cold water,chicken bouillon cubes,tomato juice,lemon juice,dill weed,salt,hot sauce,green onion,tomatoes,cucumbers""","""www.cookbooks.com/Recipe-Details.aspx?id=760609"""
"""Banana Strawberry Smoothie""","""banana,strawberries,sugar,vanilla,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=579154"""
"""Asparagus Casserole""","""water chestnuts,oleo,grated cheese,mushroom soup,bread""","""www.cookbooks.com/Recipe-Details.aspx?id=326074"""
"""7 Layer Dish""","""potatoes,carrots,celery,peas,rice,ground chuck,tomato soup""","""www.cookbooks.com/Recipe-Details.aspx?id=953721"""
"""Inside Out Ravioli""","""ground meat,onion,spinach,mushrooms,garlic,salt,shell macaroni,Cheddar,Parmesan cheese,bread crumbs,eggs,oil""","""www.cookbooks.com/Recipe-Details.aspx?id=902825"""
"""Lo-Cal Baked Perch Fillets With Lemon Butter""","""perch fillets,red onion,low-fat margarine,lemon juice,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=1065054"""
"""Mayonnaise Cake""","""flour,sugar,cocoa,baking soda,mayonnaise,water,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=505408"""
"""Broccoli Casserole""","""onions,butter,broccoli,cream of chicken soup,cheese,rice""","""www.cookbooks.com/Recipe-Details.aspx?id=508858"""
"""Spinach Cheese Casserole""","""thin spaghetti,butter,fresh mushrooms,onions,cheese,sour cream,oregano,salt,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=716853"""
"""Japanese Fried Rice""","""rice,ground beef,carrots,green onions,salt,Accent seasoning,soy sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=912523"""
"""No Peek Chicken""","""cream of celery soup,water,regular rice,chicken,onion soup""","""www.cookbooks.com/Recipe-Details.aspx?id=232229"""
"""Green Bean Salad""","""green beans,kidney beans,green pepper,yellow beans,onion,sugar,salt,black pepper,oil,vinegar""","""www.cookbooks.com/Recipe-Details.aspx?id=304291"""
"""Missouri Casserole""","""white potatoes,onions,ground beef,tomatoes,salt,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=690637"""
"""Irish Stew""","""beef,margarine,garlic,Minor beef base,stout,water,prunes,thyme,pepper,potatoes,carrots,onions,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=996935"""
"""Green Beans Marinated""","""beans,brown sugar,bacon grease,mustard,vinegar,bacon,water""","""www.cookbooks.com/Recipe-Details.aspx?id=648404"""
"""Fresh Apple Pound Cake""","""flour,baking soda,salt,corn oil,sugar,eggs,vanilla,apples,pecans,margarine,brown sugar,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=479516"""
"""Polenta""","""corn meal,cold water,water,salt,grated cheese,tomato sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=740511"""
"""""Cholives"" Puff Appetizers""","""olives,butter,English cheese spread,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=1077453"""
"""Sugar-Free Peanut Butter Pie""","""gelatin,cold water,boiling water,level,fresh nonfat milk,yogurt,sugar,peanuts""","""www.cookbooks.com/Recipe-Details.aspx?id=882777"""
"""Custard Pie""","""eggs,sugar,flour,vanilla,salt,milk,heavy cream,nutmeg,shell""","""www.cookbooks.com/Recipe-Details.aspx?id=969509"""
"""Barbecue Sauce Meatballs""","""ground beef,pepper,salt,Worcestershire sauce,cornflakes,ketchup,onions,Carnation milk,barbecue sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=662393"""
"""Corn Casserole""","""corn,corn,corn mix,sour cream,margarine""","""www.cookbooks.com/Recipe-Details.aspx?id=693965"""
"""Honey'S Hominy Soup""","""onion,green pepper,butter,chicken broth,hominy,tomato soup,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=126992"""
"""Stuffed Cabbage""","""head cabbage,onion,garlic powder,salt,ground beef,sauerkraut,tomato sauce,water,instant rice,egg,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=675805"""
"""Pizza Dip""","""ground beef,onion,garlic,tomato sauce,catsup,sugar,oregano,Parmesan cheese,cream cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=430186"""
"""Angel Muffins""","""oleo,flour,sour cream""","""www.cookbooks.com/Recipe-Details.aspx?id=1078998"""
"""Chewy Peanut Butter Bars""","""shortening,peanut butter,brown sugar,sugar,vanilla,eggs,flour,baking powder,salt,coconut""","""www.cookbooks.com/Recipe-Details.aspx?id=366476"""
"""Beef And Potato Casserole""","""potato,ground beef,broccoli,onions,cream of celery soup,milk,Cheddar cheese,garlic powder,pepper""","""www.cookbooks.com/Recipe-Details.aspx?id=825826"""
"""Tuna-Noodle Casserole""","""noodles,cream of mushroom soup,milk,sour cream,tuna,frozen,mushroom,onion,clove garlic""","""www.cookbooks.com/Recipe-Details.aspx?id=561929"""
"""Impossible Buttermilk Pie""","""sugar,buttermilk,Bisquick,butter,vanilla,eggs""","""www.cookbooks.com/Recipe-Details.aspx?id=1046248"""
"""Hot Rolls""","""sugar,lard,sweet milk,yeast,flour,baking powder,soda,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=536965"""
"""Night Before Coffee Cake""","""butter,sugar,brown sugar,eggs,flour,soda,baking powder,powdered milk,salt,buttermilk,brown sugar,pecans,cinnamon,nutmeg""","""www.cookbooks.com/Recipe-Details.aspx?id=798813"""
"""Summer Pickles""","""sugar,vinegar,celery,garlic salt,onion,water,salt,onion salt,celery salt""","""www.cookbooks.com/Recipe-Details.aspx?id=565199"""
"""Broccoli Casserole""","""cream of broccoli,milk,soy sauce,pepper,broccoli,french fried onions,cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=71310"""
"""Coconut Pie""","""pie crust,sugar,flour,margarine,vanilla,eggs,milk,coconut""","""www.cookbooks.com/Recipe-Details.aspx?id=900360"""
"""Pumpkin Bread""","""Wesson oil,sugar,eggs,pumpkin,water,flour,baking soda,salt,baking powder,cinnamon,nutmeg,ginger,nuts,raisins""","""www.cookbooks.com/Recipe-Details.aspx?id=712510"""
"""Shrimp Wreck(Tastes Best When Made Earlier In The Day.)""","""frozen shrimp,grated cheese,mayonnaise,onion,Worcestershire sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=695489"""
"""Fat-Free Strawberry Dessert(My Personal Recipe)""","""cake,fresh strawberries,yogurt""","""www.cookbooks.com/Recipe-Details.aspx?id=569570"""
"""New Year'S Casserole""","""sauerkraut,cabbage,onions,tomato paste,tomatoes,thin sliced pork chops,wieners,kolbassi""","""www.cookbooks.com/Recipe-Details.aspx?id=296260"""
"""Blueberry Breakfast Bread""","""flour,sugar,baking powder,baking soda,salt,orange rind,Cheddar cheese,frozen dry-packed blueberries,orange juice,vegetable oil,egg""","""www.cookbooks.com/Recipe-Details.aspx?id=695719"""
"""Lasagna""","""Italian sausage,ground round,onion,green pepper,celery,oregano,garlic,salt,tomatoes,tomato paste,Mozzarella cheese,Parmesan cheese,Ricotta cheese,lasagna noodles""","""www.cookbooks.com/Recipe-Details.aspx?id=918879"""
"""Sugar Cookies""","""powdered sugar,sugar,oil,butter,eggs,salt,baking soda,vanilla,cream of tartar,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=673599"""
"""Creamy Vinaigrette Dressing""","""white wine vinegar,salt,olive oil""","""www.cookbooks.com/Recipe-Details.aspx?id=822860"""
"""Spinach Pie""","""pizza dough,onion,garlic,margarine,Ricotta,Mozzarella,spinach,Parmesan cheese,pizza""","""www.cookbooks.com/Recipe-Details.aspx?id=561415"""
"""Yum Yum Coffee Cake""","""butter,eggs,baking powder,sour cream,sugar,flour,baking soda,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=198976"""
"""Macaroni Beef And Cheese Casserole""","""ground round,tomatoes,tomato sauce,onion,Worcestershire sauce,yellow mustard,salt,black pepper,macaroni noodles,sharp cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=933943"""
"""Ultimate Chocolate Cake""","""unsweetened chocolate,unsalted butter,brown sugar,cake flour,buttermilk,boiling water,vanilla,eggs,baking soda,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=908295"""
"""Mini Raisin Nut Breads""","""raisins,boiling water,baking soda,eggs,sugar,flour,vanilla,salt,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=772823"""
"""Jean Booth'S Party Punch""","""cherry,frozen lemonade,sugar,orange juice,pineapple juice""","""www.cookbooks.com/Recipe-Details.aspx?id=312690"""
